booking_id,guest_id,booking_date,check_in_date,check_out_date,room_type_id,rate_code_id,channel_id,segment_id,status,total_room_revenue,commission_amount,net_room_revenue,number_of_rooms,adults_count,children_count,review_flag,review_reason,revenue_validated,total_revenue_rounded,commission_rounded,net_revenue_rounded,checkin_day_name,checkin_is_weekend,checkin_is_holiday,checkin_season,net_realized_revenue,True_Room_Revenue,Penalty_Revenue
RES-10035,GST-5322,45651,45658,45659,RT_STD,RC_RACK,CH_BKG,SEG_BUS,Checked-Out,2194.5,329.18,1865.32,1,2,0,OK,,PASS,2194.5,329.18,1865.32,Wednesday,FALSE,TRUE,High Season,2194.5,2194.5,0
RES-10036,GST-8139,45658,45658,45659,RT_STD,RC_CORP,CH_EXP,SEG_GRP,Checked-Out,1931.16,347.61,1583.55,1,1,0,OK,,PASS,1931.16,347.61,1583.55,Wednesday,FALSE,TRUE,High Season,1931.16,1931.16,0
RES-10037,GST-6629,45646,45658,45659,RT_STD,RC_CORP,CH_EXP,SEG_LEI,Checked-Out,1931.16,347.61,1583.55,1,1,0,OK,,PASS,1931.16,347.61,1583.55,Wednesday,FALSE,TRUE,High Season,1931.16,1931.16,0
RES-10038,GST-8942,45650,45658,45660,RT_STD,RC_PROMO,CH_BKG,SEG_GRP,Checked-Out,3950.1,592.51,3357.59,1,1,0,OK,,PASS,3950.1,592.51,3357.59,Wednesday,FALSE,TRUE,High Season,3950.1,3950.1,0
RES-10039,GST-7216,45646,45658,45659,RT_STD,RC_CORP,CH_BKG,SEG_GRP,Cancelled,0,0,0,1,2,0,OK,,PASS,0,0,0,Wednesday,FALSE,TRUE,High Season,0,0,0
RES-10040,GST-7121,45625,45658,45659,RT_SUT,RC_NONREF,CH_EXP,SEG_GRP,Checked-Out,5087.25,915.7,4171.55,1,1,0,OK,,PASS,5087.25,915.7,4171.55,Wednesday,FALSE,TRUE,High Season,5087.25,5087.25,0
RES-10041,GST-5525,45629,45658,45659,RT_STD,RC_PROMO,CH_BKG,SEG_LEI,Checked-Out,1975.05,296.26,1678.79,1,2,0,OK,,PASS,1975.05,296.26,1678.79,Wednesday,FALSE,TRUE,High Season,1975.05,1975.05,0
RES-10042,GST-6942,45651,45658,45659,RT_STD,RC_NONREF,CH_EXP,SEG_BUS,Checked-Out,1865.33,335.76,1529.57,1,2,1,OK,,PASS,1865.33,335.76,1529.57,Wednesday,FALSE,TRUE,High Season,1865.33,1865.33,0
RES-10043,GST-8070,45634,45658,45661,RT_STD,RC_PROMO,CH_COR,SEG_TRA,Checked-Out,6237,623.7,5613.3,1,1,0,OK,,PASS,6237,623.7,5613.3,Wednesday,FALSE,TRUE,High Season,6237,6237,0
RES-10044,GST-5924,45648,45658,45659,RT_STD,RC_PROMO,CH_DIR,SEG_LEI,Checked-Out,2079,0,2079,1,2,0,OK,,PASS,2079,0,2079,Wednesday,FALSE,TRUE,High Season,2079,2079,0
RES-10045,GST-8256,45634,45658,45659,RT_STD,RC_NONREF,CH_BKG,SEG_TRA,Checked-Out,1865.33,279.8,1585.53,1,2,0,OK,,PASS,1865.33,279.8,1585.53,Wednesday,FALSE,TRUE,High Season,1865.33,1865.33,0
RES-10046,GST-8126,45654,45658,45659,RT_STD,RC_PROMO,CH_BKG,SEG_LEI,Checked-Out,1975.05,296.26,1678.79,1,3,2,OK,,PASS,1975.05,296.26,1678.79,Wednesday,FALSE,TRUE,High Season,1975.05,1975.05,0
RES-10047,GST-6154,45649,45658,45661,RT_STD,RC_NONREF,CH_BKG,SEG_LEI,Checked-Out,5595.98,839.4,4756.58,1,2,0,OK,,PASS,5595.98,839.4,4756.58,Wednesday,FALSE,TRUE,High Season,5595.98,5595.98,0
RES-10048,GST-7437,45657,45658,45660,RT_STD,RC_NONREF,CH_EXP,SEG_LEI,Checked-Out,3730.65,671.52,3059.13,1,2,2,OK,,PASS,3730.65,671.52,3059.13,Wednesday,FALSE,TRUE,High Season,3730.65,3730.65,0
RES-10049,GST-5729,45656,45658,45660,RT_DLX,RC_NONREF,CH_EXP,SEG_BUS,Checked-Out,0,0,0,1,1,0,OK,Negative revenue set to 0,PASS,0,0,0,Wednesday,FALSE,TRUE,High Season,0,0,0
RES-10050,GST-7431,45657,45658,45661,RT_DLX,RC_NONREF,CH_BKG,SEG_LEI,Checked-Out,8902.69,1335.4,7567.29,1,2,0,OK,,PASS,8902.69,1335.4,7567.29,Wednesday,FALSE,TRUE,High Season,8902.69,8902.69,0
RES-10051,GST-6638,45626,45658,45659,RT_STD,RC_PROMO,CH_DIR,SEG_LEI,Checked-Out,2079,0,2079,1,1,1,OK,,PASS,2079,0,2079,Wednesday,FALSE,TRUE,High Season,2079,2079,0
RES-10052,GST-7775,45623,45658,45661,RT_STD,RC_PROMO,CH_EXP,SEG_LEI,Checked-Out,5925.15,1066.53,4858.62,1,2,0,OK,,PASS,5925.15,1066.53,4858.62,Wednesday,FALSE,TRUE,High Season,5925.15,5925.15,0
RES-10053,GST-5136,45653,45658,45660,RT_DLX,RC_PROMO,CH_DIR,SEG_LEI,Checked-Out,6615,0,6615,1,1,0,OK,,PASS,6615,0,6615,Wednesday,FALSE,TRUE,High Season,6615,6615,0
RES-10054,GST-8387,45645,45658,45660,RT_SUT,RC_PROMO,CH_BKG,SEG_GRP,Cancelled,0,0,0,1,2,0,OK,,PASS,0,0,0,Wednesday,FALSE,TRUE,High Season,0,0,0
RES-10055,GST-5722,45642,45658,45660,RT_DLX,RC_PROMO,CH_BKG,SEG_LEI,Checked-Out,6284.25,942.64,5341.61,1,1,1,OK,,PASS,6284.25,942.64,5341.61,Wednesday,FALSE,TRUE,High Season,6284.25,6284.25,0
RES-10056,GST-8174,45658,45658,45659,RT_DLX,RC_PROMO,CH_EXP,SEG_LEI,Checked-Out,3142.12,565.58,2576.55,1,1,2,OK,,PASS,3142.12,565.58,2576.55,Wednesday,FALSE,TRUE,High Season,3142.12,3142.12,0
RES-10057,GST-6386,45630,45658,45659,RT_STD,RC_PROMO,CH_BKG,SEG_GRP,Checked-Out,1975.05,296.26,1678.79,1,2,0,OK,,PASS,1975.05,296.26,1678.79,Wednesday,FALSE,TRUE,High Season,1975.05,1975.05,0
RES-10058,GST-6120,45657,45658,45659,RT_STD,RC_PROMO,CH_BKG,SEG_GRP,No-Show,1975.05,296.26,1678.79,1,1,0,OK,,PASS,1975.05,296.26,1678.79,Wednesday,FALSE,TRUE,High Season,0,0,1975.05
RES-10059,GST-8439,45652,45658,45661,RT_SUT,RC_PROMO,CH_WLK,SEG_LEI,Checked-Out,17010,0,17010,1,2,0,OK,,PASS,17010,0,17010,Wednesday,FALSE,TRUE,High Season,17010,17010,0
RES-10060,GST-7259,45635,45658,45660,RT_STD,RC_PROMO,CH_BKG,SEG_LEI,Checked-Out,3950.1,592.51,3357.59,1,1,0,OK,,PASS,3950.1,592.51,3357.59,Wednesday,FALSE,TRUE,High Season,3950.1,3950.1,0
RES-10061,GST-6754,45654,45658,45660,RT_STD,RC_PROMO,CH_BKG,SEG_TRA,Checked-Out,3950.1,592.51,3357.59,1,1,0,OK,,PASS,3950.1,592.51,3357.59,Wednesday,FALSE,TRUE,High Season,3950.1,3950.1,0
RES-10062,GST-5767,45651,45658,45662,RT_SUT,RC_CORP,CH_BKG,SEG_LEI,Checked-Out,21067.2,3160.08,17907.12,1,2,0,OK,,PASS,21067.2,3160.08,17907.12,Wednesday,FALSE,TRUE,High Season,21067.2,21067.2,0
RES-10063,GST-8976,45645,45658,45660,RT_STD,RC_PROMO,CH_EXP,SEG_LEI,Checked-Out,3950.1,711.02,3239.08,1,1,0,OK,,PASS,3950.1,711.02,3239.08,Wednesday,FALSE,TRUE,High Season,3950.1,3950.1,0
RES-10064,GST-6273,45582,45658,45661,RT_DLX,RC_PROMO,CH_EXP,SEG_BUS,Checked-Out,9426.38,1696.75,7729.62,1,3,2,OK,,PASS,9426.38,1696.75,7729.62,Wednesday,FALSE,TRUE,High Season,9426.38,9426.38,0
RES-10065,GST-5042,45649,45658,45660,RT_STD,RC_PROMO,CH_DIR,SEG_LEI,Checked-Out,4158,0,4158,1,3,0,OK,,PASS,4158,0,4158,Wednesday,FALSE,TRUE,High Season,4158,4158,0
RES-10066,GST-8277,45657,45658,45660,RT_STD,RC_PROMO,CH_BKG,SEG_LEI,Cancelled,0,0,0,1,2,1,OK,,PASS,0,0,0,Wednesday,FALSE,TRUE,High Season,0,0,0
RES-10067,GST-5905,45640,45658,45662,RT_STD,RC_PROMO,CH_BKG,SEG_GRP,Checked-Out,7900.2,1185.03,6715.17,1,2,0,OK,,PASS,7900.2,1185.03,6715.17,Wednesday,FALSE,TRUE,High Season,7900.2,7900.2,0
RES-10068,GST-7710,45655,45658,45659,RT_STD,RC_NONREF,CH_BKG,SEG_GRP,Checked-Out,1865.33,279.8,1585.53,1,2,1,OK,,PASS,1865.33,279.8,1585.53,Wednesday,FALSE,TRUE,High Season,1865.33,1865.33,0
RES-10069,GST-8074,45573,45658,45660,RT_STD,RC_RACK,CH_BKG,SEG_BUS,Checked-Out,4389,658.35,3730.65,1,3,2,OK,,PASS,4389,658.35,3730.65,Wednesday,FALSE,TRUE,High Season,4389,4389,0
RES-10070,GST-7926,45655,45658,45659,RT_DLX,RC_NONREF,CH_BKG,SEG_LEI,Checked-Out,2967.56,445.13,2522.43,1,1,0,OK,,PASS,2967.56,445.13,2522.43,Wednesday,FALSE,TRUE,High Season,2967.56,2967.56,0
RES-10071,GST-7010,45571,45658,45659,RT_SUT,RC_PROMO,CH_DIR,SEG_LEI,Checked-Out,5670,0,5670,1,2,0,OK,,PASS,5670,0,5670,Wednesday,FALSE,TRUE,High Season,5670,5670,0
RES-10072,GST-7026,45648,45658,45659,RT_DLX,RC_NONREF,CH_EXP,SEG_LEI,Checked-Out,2967.56,534.16,2433.4,1,2,0,OK,,PASS,2967.56,534.16,2433.4,Wednesday,FALSE,TRUE,High Season,2967.56,2967.56,0
RES-10073,GST-5739,45654,45658,45661,RT_DLX,RC_PROMO,CH_COR,SEG_GRP,Checked-Out,9922.5,992.25,8930.25,1,2,2,OK,,PASS,9922.5,992.25,8930.25,Wednesday,FALSE,TRUE,High Season,9922.5,9922.5,0
RES-10074,GST-7346,45639,45658,45661,RT_STD,RC_NONREF,CH_EXP,SEG_LEI,Checked-Out,5595.98,1007.28,4588.7,1,1,0,OK,,PASS,5595.98,1007.28,4588.7,Wednesday,FALSE,TRUE,High Season,5595.98,5595.98,0
RES-10075,GST-5617,45640,45658,45659,RT_STD,RC_PROMO,CH_BKG,SEG_BUS,Checked-Out,1975.05,296.26,1678.79,1,2,0,OK,,PASS,1975.05,296.26,1678.79,Wednesday,FALSE,TRUE,High Season,1975.05,1975.05,0
RES-10076,GST-8138,45651,45658,45660,RT_SUT,RC_NONREF,CH_WLK,SEG_GRP,Checked-Out,10710,0,10710,1,2,0,OK,,PASS,10710,0,10710,Wednesday,FALSE,TRUE,High Season,10710,10710,0
RES-10077,GST-6946,45618,45658,45660,RT_STD,RC_PROMO,CH_EXP,SEG_LEI,Checked-Out,3950.1,711.02,3239.08,1,1,0,OK,,PASS,3950.1,711.02,3239.08,Wednesday,FALSE,TRUE,High Season,3950.1,3950.1,0
RES-10078,GST-5115,45652,45658,45660,RT_STD,RC_PROMO,CH_DIR,SEG_LEI,Checked-Out,4158,0,4158,1,2,0,OK,,PASS,4158,0,4158,Wednesday,FALSE,TRUE,High Season,4158,4158,0
RES-10079,GST-6462,45647,45658,45659,RT_STD,RC_NONREF,CH_EXP,SEG_LEI,Checked-Out,1865.33,335.76,1529.57,1,1,0,OK,,PASS,1865.33,335.76,1529.57,Wednesday,FALSE,TRUE,High Season,1865.33,1865.33,0
RES-10080,GST-8560,45645,45658,45660,RT_STD,RC_RACK,CH_EXP,SEG_LEI,Checked-Out,4389,790.02,3598.98,1,2,0,OK,,PASS,4389,790.02,3598.98,Wednesday,FALSE,TRUE,High Season,4389,4389,0
RES-10081,GST-6572,45655,45658,45659,RT_STD,RC_PROMO,CH_DIR,SEG_LEI,Checked-Out,2079,0,2079,1,2,0,OK,,PASS,2079,0,2079,Wednesday,FALSE,TRUE,High Season,2079,2079,0
RES-10082,GST-7454,45654,45658,45659,RT_STD,RC_PROMO,CH_BKG,SEG_LEI,Checked-Out,1975.05,296.26,1678.79,1,1,0,OK,,PASS,1975.05,296.26,1678.79,Wednesday,FALSE,TRUE,High Season,1975.05,1975.05,0
RES-10083,GST-5198,45649,45658,45659,RT_SUT,RC_PROMO,CH_EXP,SEG_TRA,Checked-Out,5386.5,969.57,4416.93,1,2,0,OK,,PASS,5386.5,969.57,4416.93,Wednesday,FALSE,TRUE,High Season,5386.5,5386.5,0
RES-10084,GST-5572,45635,45658,45659,RT_STD,RC_PROMO,CH_EXP,SEG_BUS,Checked-Out,1975.05,355.51,1619.54,1,2,0,OK,,PASS,1975.05,355.51,1619.54,Wednesday,FALSE,TRUE,High Season,1975.05,1975.05,0
RES-10085,GST-7078,45654,45658,45660,RT_DLX,RC_CORP,CH_DIR,SEG_GRP,Checked-Out,6468,0,6468,1,1,1,OK,,PASS,6468,0,6468,Wednesday,FALSE,TRUE,High Season,6468,6468,0
RES-10086,GST-8299,45635,45658,45659,RT_STD,RC_NONREF,CH_COR,SEG_LEI,Cancelled,0,0,0,1,1,0,OK,,PASS,0,0,0,Wednesday,FALSE,TRUE,High Season,0,0,0
RES-10087,GST-8692,45657,45658,45660,RT_STD,RC_PROMO,CH_EXP,SEG_BUS,Checked-Out,3950.1,711.02,3239.08,1,1,0,OK,,PASS,3950.1,711.02,3239.08,Wednesday,FALSE,TRUE,High Season,3950.1,3950.1,0
RES-10088,GST-7907,45654,45659,45661,RT_DLX,RC_CORP,CH_EXP,SEG_TRA,Cancelled,0,0,0,1,3,0,OK,,PASS,0,0,0,Thursday,FALSE,FALSE,High Season,0,0,0
RES-10089,GST-6465,45657,45659,45661,RT_STD,RC_PROMO,CH_COR,SEG_LEI,Checked-Out,3960,396,3564,1,2,0,OK,,PASS,3960,396,3564,Thursday,FALSE,FALSE,High Season,3960,3960,0
RES-10090,GST-7657,45610,45659,45660,RT_STD,RC_PROMO,CH_COR,SEG_LEI,Checked-Out,1980,198,1782,1,2,0,OK,,PASS,1980,198,1782,Thursday,FALSE,FALSE,High Season,1980,1980,0
RES-10091,GST-6164,45634,45659,45661,RT_SUT,RC_NONREF,CH_DIR,SEG_LEI,Checked-Out,10200,0,10200,1,1,0,OK,,PASS,10200,0,10200,Thursday,FALSE,FALSE,High Season,10200,10200,0
RES-10092,GST-7281,45658,45659,45660,RT_STD,RC_NONREF,CH_EXP,SEG_BUS,Checked-Out,1776.5,319.77,1456.73,1,2,0,OK,,PASS,1776.5,319.77,1456.73,Thursday,FALSE,FALSE,High Season,1776.5,1776.5,0
RES-10093,GST-7865,45647,45659,45661,RT_STD,RC_PROMO,CH_BKG,SEG_GRP,Checked-Out,3762,564.3,3197.7,1,2,0,OK,,PASS,3762,564.3,3197.7,Thursday,FALSE,FALSE,High Season,3762,3762,0
RES-10094,GST-8951,45635,45659,45663,RT_STD,RC_PROMO,CH_WLK,SEG_TRA,Checked-Out,7920,0,7920,1,2,0,OK,,PASS,7920,0,7920,Thursday,FALSE,FALSE,High Season,7920,7920,0
RES-10095,GST-7326,45657,45659,45662,RT_STD,RC_CORP,CH_BKG,SEG_TRA,Checked-Out,5517.6,827.64,4689.96,1,2,0,OK,,PASS,5517.6,827.64,4689.96,Thursday,FALSE,FALSE,High Season,5517.6,5517.6,0
RES-10096,GST-5657,45633,45659,45661,RT_STD,RC_PROMO,CH_BKG,SEG_LEI,Checked-Out,3762,564.3,3197.7,1,2,0,OK,,PASS,3762,564.3,3197.7,Thursday,FALSE,FALSE,High Season,3762,3762,0
RES-10097,GST-8430,45651,45659,45660,RT_STD,RC_PROMO,CH_BKG,SEG_LEI,Checked-Out,1881,282.15,1598.85,1,2,1,OK,,PASS,1881,282.15,1598.85,Thursday,FALSE,FALSE,High Season,1881,1881,0
RES-10098,GST-8962,45630,45659,45661,RT_STD,RC_RACK,CH_EXP,SEG_GRP,Checked-Out,4180,752.4,3427.6,1,2,0,OK,,PASS,4180,752.4,3427.6,Thursday,FALSE,FALSE,High Season,4180,4180,0
RES-10099,GST-5583,45658,45659,45660,RT_STD,RC_PROMO,CH_WLK,SEG_LEI,Checked-Out,1980,0,1980,1,2,0,OK,,PASS,1980,0,1980,Thursday,FALSE,FALSE,High Season,1980,1980,0
RES-10100,GST-6491,45595,45659,45660,RT_DLX,RC_PROMO,CH_BKG,SEG_GRP,Checked-Out,2992.5,448.88,2543.62,1,1,0,OK,,PASS,2992.5,448.88,2543.62,Thursday,FALSE,FALSE,High Season,2992.5,2992.5,0
RES-10101,GST-8242,45653,45659,45660,RT_DLX,RC_NONREF,CH_COR,SEG_TRA,Checked-Out,2975,297.5,2677.5,1,2,0,OK,,PASS,2975,297.5,2677.5,Thursday,FALSE,FALSE,High Season,2975,2975,0
RES-10102,GST-8302,45639,45659,45662,RT_DLX,RC_PROMO,CH_BKG,SEG_GRP,Cancelled,8977.5,1346.62,7630.88,1,2,1,INFO,Cancelled with revenue,PASS,8977.5,1346.62,7630.88,Thursday,FALSE,FALSE,High Season,0,0,8977.5
RES-10103,GST-7640,45610,45659,45660,RT_DLX,RC_NONREF,CH_BKG,SEG_LEI,Checked-Out,2826.25,423.94,2402.31,1,2,0,OK,,PASS,2826.25,423.94,2402.31,Thursday,FALSE,FALSE,High Season,2826.25,2826.25,0
RES-10104,GST-8679,45636,45659,45661,RT_STD,RC_NONREF,CH_BKG,SEG_LEI,Checked-Out,3553,532.95,3020.05,1,2,0,OK,,PASS,3553,532.95,3020.05,Thursday,FALSE,FALSE,High Season,3553,3553,0
RES-10105,GST-7197,45631,45659,45660,RT_STD,RC_CORP,CH_COR,SEG_BUS,Checked-Out,1936,193.6,1742.4,1,2,0,OK,,PASS,1936,193.6,1742.4,Thursday,FALSE,FALSE,High Season,1936,1936,0
RES-10106,GST-5003,45635,45659,45663,RT_STD,RC_NONREF,CH_EXP,SEG_LEI,Checked-Out,7106,1279.08,5826.92,1,2,0,OK,,PASS,7106,1279.08,5826.92,Thursday,FALSE,FALSE,High Season,7106,7106,0
RES-10107,GST-6992,45654,45659,45660,RT_DLX,RC_PROMO,CH_DIR,SEG_BUS,Checked-Out,3150,0,3150,1,1,0,OK,,PASS,3150,0,3150,Thursday,FALSE,FALSE,High Season,3150,3150,0
RES-10108,GST-7602,45657,45659,45660,RT_STD,RC_NONREF,CH_EXP,SEG_BUS,Checked-Out,1776.5,319.77,1456.73,1,1,0,OK,,PASS,1776.5,319.77,1456.73,Thursday,FALSE,FALSE,High Season,1776.5,1776.5,0
RES-10109,GST-7874,45647,45659,45660,RT_STD,RC_NONREF,CH_BKG,SEG_GRP,Checked-Out,1776.5,266.47,1510.03,1,2,0,OK,,PASS,1776.5,266.47,1510.03,Thursday,FALSE,FALSE,High Season,1776.5,1776.5,0
